"","x"
"1","PSX00027915"
"2","PSX000486355"
"3","PSX000543308"
"4","PSX000761035"
"5","PSX000563277"
"6","PSX000601904"
"7","PSX000364619"
"8","PSX000726011"
"9","PSX000580834"
"10","PSX000579866"
"11","PSX000773658"
"12","PSX000771643"
"13","PSX000383605"
"14","PSX000486902"
"15","PSX000393953"
"16","PSX000551295"
"17","PSX000730153"
"18","PSX000307527"
"19","PSX000490676"
"20","PSX00025616"
"21","PSX000341962"
"22","PSX000375103"
"23","PSX000965913"
"24","PSX000683879"
"25","PSX000321616"
"26","PSX00030164"
"27","PSX000748287"
"28","PSX000509858"
"29","PSX000287865"
"30","PSX000712054"
"31","PSX000339169"
"32","PSX000972874"
"33","PSX000951775"
"34","PSX000942686"
"35","PSX00092979"
"36","PSX000532856"
"37","PSX000840597"
"38","PSX000249278"
"39","PSX000431989"
"40","PSX000657068"
"41","PSX000402863"
"42","PSX000570762"
"43","PSX000357981"
"44","PSX000747563"
"45","PSX000461952"
"46","PSX000786168"
"47","PSX000211234"
"48","PSX000402244"
"49","PSX000566355"
"50","PSX000556820"
"51","PSX000288117"
"52","PSX000504637"
"53","PSX000996497"
"54","PSX000876128"
"55","PSX000614071"
"56","PSX000668819"
"57","PSX00087850"
"58","PSX000629944"
"59","PSX000282616"
"60","PSX000568864"
"61","PSX000699135"
"62","PSX000287092"
"63","PSX000939194"
"64","PSX000666293"
"65","PSX000782638"
"66","PSX000353936"
"67","PSX000381886"
"68","PSX000351913"
"69","PSX000731462"
"70","PSX000263550"
"71","PSX00085559"
"72","PSX000463141"
"73","PSX000306298"
"74","PSX000784566"
"75","PSX000782954"
"76","PSX000781718"
"77","PSX000483500"
"78","PSX000252986"
"79","PSX000530771"
"80","PSX000737687"
"81","PSX000418843"
"82","PSX000284109"
"83","PSX000728912"
"84","PSX000680204"
"85","PSX000309103"
"86","PSX000535788"
"87","PSX000599287"
"88","PSX000901649"
"89","PSX000932979"
"90","PSX000438376"
"91","PSX000854000"
"92","PSX000848149"
"93","PSX00096961"
"94","PSX000770460"
"95","PSX000330505"
"96","PSX000643188"
"97","PSX00028218"
"98","PSX000791734"
"99","PSX000896753"
"100","PSX000486525"
"101","PSX000673836"
"102","PSX000316415"
"103","PSX000331638"
"104","PSX000695993"
"105","PSX000580357"
"106","PSX000862823"
"107","PSX000382213"
"108","PSX000764794"
"109","PSX000378537"
"110","PSX000491909"
"111","PSX000595318"
"112","PSX000310115"
"113","PSX000907353"
"114","PSX000673673"
"115","PSX000324362"
"116","PSX000476782"
"117","PSX00093886"
"118","PSX000129720"
"119","PSX000829188"
"120","PSX00077161"
"121","PSX000718710"
"122","PSX00058181"
"123","PSX000432751"
"124","PSX000638174"
"125","PSX000550530"
"126","PSX000949490"
"127","PSX000284146"
"128","PSX000236055"
"129","PSX00085692"
"130","PSX00042356"
"131","PSX000393707"
"132","PSX000993843"
"133","PSX000486576"
"134","PSX000959366"
"135","PSX000630718"
"136","PSX000976013"
"137","PSX000542723"
"138","PSX000898379"
"139","PSX000782225"
"140","PSX000728930"
"141","PSX000405777"
"142","PSX000711926"
"143","PSX000664515"
"144","PSX000708363"
"145","PSX000346091"
"146","PSX000447470"
"147","PSX000301071"
"148","PSX000345503"
"149","PSX000986963"
"150","PSX000863172"
"151","PSX000313591"
"152","PSX000468727"
"153","PSX00062604"
"154","PSX000834309"
"155","PSX000575487"
"156","PSX000818988"
"157","PSX000315870"
"158","PSX000912547"
"159","PSX000547111"
"160","PSX000708068"
"161","PSX000844857"
"162","PSX000875466"
"163","PSX000801017"
"164","PSX000904475"
"165","PSX000904075"
"166","PSX000683892"
"167","PSX000933332"
"168","PSX000722764"
"169","PSX000703802"
"170","PSX000573732"
"171","PSX000629474"
"172","PSX000894990"
"173","PSX000544239"
"174","PSX000606519"
"175","PSX000385368"
"176","PSX000754652"
"177","PSX000551390"
"178","PSX000356583"
"179","PSX000297793"
"180","PSX000437311"
"181","PSX000731906"
"182","PSX000614595"
"183","PSX000884840"
"184","PSX000519171"
"185","PSX000784158"
"186","PSX00059610"
"187","PSX000658886"
"188","PSX000624143"
"189","PSX000263755"
"190","PSX000315788"
"191","PSX000454731"
"192","PSX000441417"
"193","PSX000987192"
"194","PSX000299199"
"195","PSX000625768"
"196","PSX000258702"
"197","PSX000439587"
"198","PSX000288296"
"199","PSX000887199"
"200","PSX000328191"
"201","PSX00060361"
"202","PSX000710753"
"203","PSX000921259"
"204","PSX000296150"
"205","PSX000988616"
"206","PSX000809029"
"207","PSX000905198"
"208","PSX000605666"
"209","PSX000907749"
"210","PSX000490904"
"211","PSX000551018"
"212","PSX000946063"
"213","PSX000501309"
"214","PSX000667403"
"215","PSX000346646"
"216","PSX000355918"
"217","PSX000367696"
"218","PSX00037739"
"219","PSX000579084"
"220","PSX00070416"
"221","PSX000543338"
"222","PSX000825271"
"223","PSX00043297"
"224","PSX000414063"
"225","PSX000673738"
"226","PSX000682432"
"227","PSX000594798"
"228","PSX000332671"
"229","PSX000519687"
"230","PSX000655818"
"231","PSX000347215"
"232","PSX000851859"
"233","PSX000501014"
"234","PSX000693971"
"235","PSX00023614"
"236","PSX000449590"
"237","PSX000573153"
"238","PSX000942777"
"239","PSX000312875"
"240","PSX000592537"
"241","PSX000358797"
"242","PSX000779726"
"243","PSX000253196"
"244","PSX000922222"
"245","PSX000861251"
"246","PSX000391851"
"247","PSX000924752"
"248","PSX000910964"
"249","PSX000488985"
"250","PSX000359361"
"251","PSX00014093"
"252","PSX000853183"
"253","PSX000882634"
"254","PSX000871951"
"255","PSX000645213"
"256","PSX000582669"
"257","PSX000741303"
"258","PSX000872758"
"259","PSX000734870"
"260","PSX000922626"
